Event_Type,Event_Category,Criticality_Level,Risk_Level,Event_Count,Retry_Percentage,Most_Common_Intended_Channel,Delivery_Success_Percentage,Customer_Action_Trend,Priority_Score,Recommended_Primary_Channel,Recommended_Fallback_Channel(s),Secure_Inbox_Required_YN,Notes (optional but useful)
Beneficiary Added Alert,Security,High,High,107,51.4,Push Notification,42.99%,Viewed,9,SMS,Push Notification -> Email,Yes,High-risk security event. Needs instant delivery and audit trail. Low delivery percentage — fallback added
Credit Card Bill Reminder,Reminder,Medium,Medium,98,59.18,SMS,42.86%,Viewed ,7,Push Notification,SMS,No,Medium priority reminder. Users often view but do not engage. Push primary is cost-effective.SMS is common but poorly performing (42% delivery). Push chosen as primary to improve reliability
Fraud Alert,Security,High,High,103,44.66,Email,46.60%,Reported Spam,9,SMS,Push Notification -> Email,Yes,Critical event. Many users report spam — template may need improvement. Must reach user immediately
KYC Reminder,Reminder,Medium,Medium,117,57.26,Email,47.86%,Clicked Link,7,Push Notification,SMS,No,User-action trend shows clicks; engagement is good. Not urgent but must remain visible
Login OTP,Authentication,High,High,89,52.81,SMS,43.82%,Clicked Link,9,SMS,Push Notification -> Email,Yes,Authentication event. Cannot fail. Delivery rate low — multiple fallbacks required
Low Balance Alert,Transaction,Medium,Medium,88,50,SMS,48.86%,Viewed,7,Push Notification,SMS,No,Transaction-related but medium priority. Users usually view only. Push is enough with SMS fallback.
Monthly Statement,Service,Low,Low,109,58.72,Whatsapp,52.29%,Viewed,4,Email,Push Notification ,No,Service event. Email is most appropriate as it acts as a permanent record. Not time-critical.
Payment Confirmation,Transaction,High,High,95,47.37,Whatsapp,50.53%,Reported Spam,8,SMS,Push Notification -> Email,Yes,High-risk due to money movement. Delivery % is low — strong fallback sequence needed.
Reward Points Update,Marketing,Low,Low,95,53.68,Push Notification,46.32%,Clicked Link,5,Push Notification,Email,No,Marketing/low priority. Users often click; push works best. No need for secure inbox
Transaction OTP,Authentication,High,High,99,43.43,Whatsapp,48.48%,Ignored,9,SMS,Push Notification -> Email,Yes,Critical authentication event. Failure impacts transactions. Low delivery % → must have multi-channel fallback
